Commune,commune_label,n_menages,milieu
1,BAMBYLOR,40,
2,BISCUITERIE,68,
3,CA.MERMOZ/ SACRE -COEUR,16,
4,CAMBERENE,30,
5,COLOBANE/FASS/GUEULE TAPEE,103,
6,COM. BARGNY,47,
7,COM. DIAMNIADIO,42,
8,COM. JAXAAY PARCELLE NIAKOUL RAP,50,
9,COM. SANGALKAM,29,
10,COM. SEBIKOTANE,97,
11,COM. SENDOU,11,
12,DALIFORD,1,
13,DIACK SAO,66,
14,DIAMAGUENE/SICAP M'BAO,106,
16,DJIDAH THIAROYE KAO,60,
17,FANN/POINT E/ AMITIE,33,
18,GOLF SUD,78,
19,GOREE,61,
20,GRAND DAKAR,17,
21,GRAND YOFF,121,
22,GUINAW RAIL NORD,29,
23,GUINAW RAIL SUD,35,
25,HLM,68,
26,KEUR MASSAR,121,
27,M'BAO,70,
28,MALIKA,36,
29,MEDINA,85,
30,MEDINA GOUNASS,28,
31,N'DIAREME LIMAMOULAYE,29,
32,N'GOR,5,
33,OUAKAM,40,
34,PARCELLES ASSAINIES,79,
35,PATTE D'OIE,19,
36,PIKINE EST,36,
37,PIKINE OUEST,42,
38,PIKINE SUD,39,
39,PLATEAU,22,
40,RUFISQUE CENTRE (NORD),60,
41,RUFISQUE EST,44,
42,RUFISQUE OUEST,46,
43,SAM NOTAIRE,35,
44,SICAP LIBERTE,43,
45,THIAROYE /MER,39,
46,THIAROYE GARE,21,
47,TIVAOUANE PEULH-NIAGHA,28,
48,WAKHINANE NIMZATT,72,
49,YENE,42,
50,YEUMBEUL NORD,99,
51,YEUMBEUL SUD,60,
52,YOFF,21,
